Sentence,Sentiment,Translated
কেছেট ৰ দিনত কিমান যে ৰি কৰি কৰি শুনিলো,1,How many rehears i heard on cassette days
তৃতীয় শ্ৰেণীৰ পোছাক,0,Third Class Dress
সুৱৰৰ বচ্ছা,0,Subar's Son
সুৰটো এইটো গানৰ পৰা চোৰ কৰি অনা,0,Steal the tune from this song
ফালটো গান,0,Falto Song
মোৰ বন্ধুৱে এই ভিডিঅ'টো চোৱাৰ পিছত তেওঁৰ চকু দান কৰিছিল,0,My friend donated his eyes after watching this video
জয় আই অসম,1,Joy I Assam
মোৰ মতে আজিৰ নৱ প্ৰজন্মই এইবোৰ শুনাতো ভাল,1,I think today's new generation is better at hearing these
এই ফালতু গানটো কিয় আপলোড কৰা হৈছে,0,Why this sly song has been uploaded
এই গানটো অনুভৱ কৰক,1,Feel this song
কবলৈ ভাষা নাই এনেদৰে সদায় জিলিকি থাকা,1,Don't have the language to say always shine like this
একে একে দুই এই গানটো জুই,1,"One by one, this song is a fire"
ভাল হৈছে বন্ধু,1,Good friend
এইয়াই হ'ল ৰোমাঞ্চ অৰ্থাৎ প্ৰেম নিবেদন কোনো অশ্লীলতা নাই কোনো অসভ্যালি নাই ভাৱৰ আদান প্ৰদান,1,This is romance i.e. love submission no obscenity no ossaly no exchange of thoughts
পুৰণি স্বৰ্ণময়,1,old golden
এইটো গীত আমাৰ গাঁৱত বহুত চলে  বিয়া বিলাকত,1,This song goes on in our village a lot in weddings.
এনেকুৱা এটা উৎকৃষ্ট কৃতি,1,Such a masterpiece
পশুতকৈও নীচ মানুহ,0,A man inferior to an animal
বন্ধ কৰ কেলা,0,Close The Black
"এইবাৰ মাঘৰ বিহুত লগাইছিলো, এতিয়াও পিঠিৰ বিষ ভাল হোৱা নাই",0,"This time Maghar put it on Bihu, the back pain is not good yet"
কবলে একো ভাষা নাই কুসুুম দা ইমান ভাল হইছে গানটো,1,There is no language to say Kusum da is so good the song
পাছলেও এনে বিহু পোৱাৰ আশা ঠাকিল,1,"Even after that, the hope of getting such bihu was dashed."
কোটিমাৰা,0,kotimara
যা তা গান লিখে,0,Which is written by the song
আপোনাৰ কিবা অসুখ বিসুখ হৈছে নেকি,0,Are you suffering from any illness
এনেকুৱা গান আৰু কোনেও ওলাব নোৱাৰিৱ,1,No one else can come out with such songs
এই গীতটো শুনি মই এজন অসমী বুলি গৌৰৱান্বিত অনুভৱ কৰোঁ,1,I feel proud to be an Assamese when I hear this song
মোৰ প্ৰেমিকাই মোৰ সৈতে বিচ্ছেদ কৰিছিল যেতিয়া তাই দেখিছিল যে মই এই গানটো শুনি আছো,0,My girlfriend broke up with me when she saw that I was listening to this song
চিৰসেউজীয়া নিপন গোস্বামী,1,Evergreen Nipan Goswami
এইটো ইমান বেয়া যে ই প্ৰকৃততে ধেমেলীয়া,0,It's so bad that it's really funny
এই গানটো শুনিলে শুনি থাকিবৰ মন যায়।ভাগৰুৱা দেহটিও যেন পলকতে ক্লান্ত হয় পৰে।,1,It's heartto listen to this song. The tired body should also get tired of blinking.
"অনুপম,অতুলনীয় অৱদান",1,"Anupam, unique contribution"
ফাল্টু বুঢ়া,0,faltu old man
কুসুম দা তুমি জুই,1,Kusum da tu fire
চিৰ সেউজ বিহু গীত,1,Ever Green Bihu Song
কিছুমান ভুৱা নতুনত্বক অনুকৰণ কৰিব গৈ নিজৰ অস্তিত্বৰ হানি কৰা নিচিনা অনুভৱ হ'ল,0,It felt like a loss of existence by imitating some fake innovations.
কাৰ কাৰ এই গানটো এতিয়াও প্রিয়?,1,Whose song is still dear?
এই গীতটো শুনি মই অসমী বুলি আনক কবলৈ লাজ লাগে,0,I am ashamed to tell others that I am Assamese when I hear this song.
বহুত ধুনীয়া,1,Very pretty
অনুগ্ৰহ কৰি মানসিক চিকিৎসালয়লৈ যাওক,0,Please go to the mental hospital
পাগল হৈ গৈছো গানটো শুনি,0,Gone crazy listening to the song
কি আৰু... জী মন জয় তাকে গাই দিয়ে। .. আজি কালি।,0,What else... Ji Mann Jai sings to him. Nowadays.
"আহ! কি সুন্দৰ মাদকতা। কি সুন্দৰ ছন্দ,সুৰ ।",1,"come! What a beautiful drug. What a beautiful rhythm, tune."
আপোনাৰ গীত বিলাক ধূমকেতুৰ দৰে আহে যিদৰে ধূমকেতু চাবলৈ ভাল লাগে ঠিক তেনেদৰে আপোনাৰ গীতবোৰ শুনি ভাল লাগে,1,"Your songs come like comets just as it's nice to watch comets, so it's nice to listen to your songs"
বহুতেই বাৰ শুনিলোঁ.. বেলেগই এটা পৰশ পাওঁ ।,1,Many have heard it many times. I get a different parsh.
মূতি দিব মন গৈছে,0,I feel like giving a promise
এই গানটো শুনি মোৰ কাণে কাম কৰা নাই,0,My ears are not working after listening to this song
মনোমোহা,1,charming
আপুনি বুঢ়া অনুগ্ৰহ কৰি সোনকালে মৰিব,0,You old man please die soon
ভাল লাগিল অ সৰু কালৈ মনত পৰি গল অ,1,It's nice to remember someone who's small.
এদিন এজন অসমবাসীয়ে মোক এই গানটো শুনিবলৈ পৰামৰ্শ দিছিল। সঁচাকৈয়ে এই গানটো মোৰ বহুতো স্মৃতিৰ সৈতে সংলগ্ন,1,One day an Assamese advised me to listen to this song. Really this song is attached to many of my memories.
আপিতো ভাল লাগা নাই,0,I don't like it.
এই গায়কজনক গ্ৰেপ্তাৰ কৰা প্ৰয়োজন,0,This singer needs to be arrested
তহতি অসমখনশেষ কৰি দিলি,0,Then i finished the Assam
আপোনাৰ কণ্ঠস্বৰ এনেকুৱা যেন আপুনি এটা কৌতুক কৈ আছে,0,Your voice is like you're telling a joke
এনেকুৱা গান আৰু উপহাৰ দি যাব,1,Continue to give such songs and gifts
প্ৰাচীন বাজে কথাৰ টুকুৰা,0,Ancient nonsense pieces
"অসমীয়া জাতিটো তোমালোকৰ দৰে কিছুমান মানুহৰ কাৰনে ৰসাতলে গৈছে,",0,"The Assamese nation has been crushed by some people like you,"
মুখখন কুকুৰৰ দৰে দেখায়,0,Face looks like a dog
ইমান ভুল ভুল কৈ নাগাবা,0,Don't misunderstand so much
অসাধাৰণ  গীত,1,extraordinary song
মই তোমাক বহুত ভাল পাওঁ,1,I love you so much
চলা বান্দৰ টোৰ গান শুনিলে মোৰা মানুহ আকৌ জীয়াই উঠিব,0,Listening to the song of the moving monkey will bring the mora man back to life
এই গীতটোৱে অসমসংগীত উদ্যোগৰ পৰ্যায় আৰু দিশ সলনি কৰিছিল।,1,The song changed the stage and direction of the Assam music industry.
বহুত স্মৃতি থকা গান,1,Songs with many memories
কিমান ভাল লাগে বুজাবলৈ ভাষা নাই,1,No language to explain how good it feels
প্ৰতিনিশা মই নিজকে অকলশৰীয়া অনুভৱ কৰিলে এই গানটো শুনো,1,Listen to this song every night when I feel lonely
আপুনি কেতিয়া মৰিৱ,0,When will you die
ৰাস্তাৰ কাষত গাধ,0,Donkey on the side of the road
এজন মানুহে মৃত্যুৰ সৈতে যুঁজি আছিল। মই এই গানটো বজাইছিলো আৰু তেওঁ সহজে মৃত্যুবৰণ কৰিছিল।,0,A man was fighting to death. I played this song and he died easily.
প্রভাতি পক্ষী ৰ আজি ডেউকা নাই নিমগ্ন  আন্ধাৰত দিশ হেৰাই,0,Prabhati Bird has no dauka today and lost direction in the dark
এই গানটো এটা অৰ্থ পূৰ্ণ গান,1,This song is a meaningful song
এই গ্ৰহটো এৰি যোৱাৰ সময়,0,Time to leave this planet
অপছন্দ কৰিবলৈ দহ ছেকেণ্ড সময় লাগিছিল,0,It took ten seconds to dislike
বৰ্তমান ই আধুনিকতাৰ প্ৰভাৱত প্ৰায়  লুপ্তপ্ৰায়,0,It is now almost extinct under the influence of modernity
"এটা শব্দই কৈছো ""মধুৰ""",1,"One word says ""sweet"""
আপোনাৰ কণ্ঠস্বৰ আপোনাৰ হৃদয়ৰ গভীৰৰ পৰা অহাযেন লাগিছে,1,Your voice seems to come from the depths of your heart
চিৰসেউজ ীয়া গান,1,Evergreen Songs
পাপন দাৰ যাদুকৰী কন্ঠই ইমানকৈ মন্ত্ৰমুগ্ধ কৰি ৰাখিলে যে গানটো কেতিয়া শেষ হৈ গল গমেই নাপালোঁ,1,Papan Dar's magical voice was so mesmerizing that I didn't know when the song was over.
নাপায় এনে কৰিব,0,Don't get to do this
এইটো আনকি এটা গান নেকি,0,Is it even a song
ক'ৰ মক্কেল এইটো,0,Who's client this
"আহাহা কি অপূৰ্ব, কি মোহনীয়",1,"Ahaha ki apoorva, ki mohaani"
গান চুৰ কৰা এৰি এটা টো গান নিজে বনা,0,Make a song yourself leaving the song stolen
ভাল লাগিল শুনি,1,It's nice to hear
কি যে মিঠা মিঠা,1,What a sweet sweet
ঘন্টা,0,hour
মোৰ মনে প্রাণে ছুই যোৱা গানবোৰ শুনিলে আজিও গাৰ ণোম শয়ৰী উঠে,1,Listening to the songs that have touched my heart still raises the voice of the body.
কুকুৰ এইটো বিষ্ঠা গান,0,Dog This is song
"শুনিয়েই আছো, শুনিয়েই আছো, শুনিয়েই আছো",1,"You're listening, you're listening, you're listening."
এটা গান শুনা যেন লাগিল।‌‌,1,It seemed like listening to a song.
কথা বন্ধ কৰা,0,Shut your mouth
সুদমাৰানি,0,sudmarani
শিক্ষাহীন ব্যক্তি,0,uneducated person
একদম ফকতিয়া,0,absolutely fuktia
"মানিব লাগিৱ দেই, চুৰি কৰা টেলেণ্ট কম টেলেণ্ট নহয়, এনেকৈ চুৰি গান গাই টুপি পিন্ধাই মঞ্চৰ পৰা লাখ লাখ টকা দাবী কৰি অাহিছ নিৰ্লজ্জ",0,"Let's accept, stolen talent is no less talent, so he's shameless by wearing a hat and demanding lakhs of rupees from the stage."
আগৰ বিহু গীত বহুত সুন্দৰ আছিল,1,The previous Bihu song was very beautiful.
ই মন্ত্ৰমুগ্ধ কৰে,1,It spells
এনেকুৱা গীত কুসুম দাৰ পৰা পাম বুলি  আশা কৰিছিলোঁ । আজি অপেক্ষা অন্তৰ পৰিল,1,I was hoping to get such songs from Kusum Da. Today the wait is over
অপুনাৰ নিজোৰ সৃজনশীলতা নাই নে সব গান চুৰ কোৰে জে,0,Don't you have the creativity of nijo or all the songs sur kore j
আপুনি কৰ্কট ৰোগ,0,You are cancer
গান গাইছে ছা না,0,"Singing, don't you?"
এইটো এটা বেয়া গান,0,It's a bad song
সৰুতে মূৰত দূখ পাইছিলা নেকি বাৰু,0,Did you get a headache as a child?
"হৃদয় চুই যোৱা এটি গান , এটি  অসমীয়া গান",1,"Heart touching is a song, it's an Assamese song."
"শব্দৰ গভীৰতাই গীতৰ মানদণ্ড উন্নত কৰে,পিছে গীতটোত শব্দতকৈ কটু কিবাকিবি বোৰেহে প্ৰাধান্য পোৱা যেন অনুভৱ হ'ল,শব্দৰ স্হান একেবাৰে শেষত যেন হে লাগিল",0,"The depth of the sound improves the quality of the song, but the song seems to take precedence over the sound, the sound seems to be at the very end."
কা কা কৰি ৫জনক মাৰি তই কেতিয়াও সুখী হৈ থাকিব নোৱাৰা ৷ ধিক ধিক,0,You can never be happy to kill 5 by doing ka ka ka. Woe to you.
বাংলাদেশি চৰকাৰ বালৰ গান,0,Songs of Bangladesh Government Bal
তই মৰি জা না বে ঠাকুৰীয়া বুলি কলে লাজ পোৱা হৈছে টোৰ কাৰণে,0,It's ashamed to say he's dead or dead.
একদম ফালটো জণ্ডিচ হৈছে নেকি তোৰ ঢুকুৰা,0,Is the side of the jaundice your son
যদি আপুনি এই গানটো শুনি আছে। মই মাত্ৰ ক'ব বিচাৰিছিলো যে আপোনাৰ সংগীতৰ সোৱাদ আটাইতকৈ বেয়া।,0,If you're listening to this song. I just wanted to say that your music tastes the worst.
গানটো ইমান ভাল লাগিল যে 50 ছেকেণ্ড চায়ে সামৰিলো,0,The song was so good that 50 seconds of chai wrapped up
লাজ নালাগে তুৰ,0,Don't be ashamed of tur
ভাল ভিদিঅ,1,Good Video
এইবোৰ বিহুগান এটুকুৰা হীৰা,1,These are a diamond of bihugan
বহুত ভাল লাগে  এনেকুৱা পুৰণি অসমীয়া গীতৰসমূহ ।,1,It is very nice to have such old Assamese songs.
সুৱদিসুৰীয়া।,1,Suvdisuria.
এই ভিডিঅ'টো চোৱাৰ পিছত মই মোৰ নাম পাহৰি যাওঁ,0,I forget my name after watching this video
মই বুজি নাপাওঁ যে মই এই সম্পূৰ্ণ ভিডিঅ'টো কেনেকৈ চাওঁ,0,I don't understand how I watch this full video
কোনে কোনে দিশ্লিকে কৰিব আহিছে,0,Who is coming to do it in a way?
এই ধৰণৰ গান শুনি গায়কে আত্মহত্যা কৰিব,0,The singer will commit suicide by listening to such songs
এই গানটো সদায় ভাল পাওঁ,1,I always love this song
সকলোৱে সমালোচনা কৰি আছে,0,Everyone is criticizing
এনে লাগিছে গানটোত থকা শব্দ বোৰ প্ৰথম বাৰ শুনিছোঁ,1,It seems like this is the first time I have heard the words in the song.
প্ৰকৃত সৌন্দৰ্য বা মাদকতা কৰবাত হেৰাই গৈছে,0,Real beauty or intoxication is lost somewhere
সুৰৰ নামত অসুৰ,0,Asura in the name of tune
এই সংগীতটো শুনিবলৈ ইমান শান্তিপূৰ্ণ।,1,This music is so peaceful to listen to.
"শব্দ, কথা সুৰ কি কম ভাষা নাই",1,"Words, words, no less language"
আপ কিয়া বেয়া গান গাতাহে বাপাৰে,0,Aap kiya bad song gaatahe bapar
আক থু গান,0,Ak Thu Gun
এইয়াহে প্ৰকৃত বিহু,1,This is the real Bihu
আটাইতকৈ সস্তা গান,0,Cheapest Song
ধুনীয়া গীত।,1,Beautiful song.
যিসকলে এইটো দেখে তেওঁলোকৰ বাবে মই বেয়া অনুভৱ কৰিআছো,0,I feel bad for those who see it
দুটা লাইন শুনি অ কাটি দিলোঁ,0,I heard two lines and cut it off.
গান গাবলৈ এৰি দিয়ক,0,Leave to sing
দৰ্শনীয় প্ৰদৰ্শন,1,Spectacular Performance
অসমীয়া পুৰণি গীত বোৰ সকলো সময়তে শুনি থাকো বহুত ভাল লাগে ।,1,It's great to hear assamese old songs all the time.
নগাব বে এইবোৰ মানুহ মৰিব,0,These people will die.
হৃদ়স্পৰ্শী  সঁচাকৈ যান্তিকতা মাজত লুকাই যোৱা মানুহ বোৰে তোমালোকৰ কথা আৰু সুৰ বিলাকত নিজকে বিচাৰি পাই,1,The people who are hidden in the midst of the heartwarming truth find themselves in your words and tunes.
ভাল লাগিল।,1,It's nice.
আশা কৰো সকলোৱে যাতে গীতটো আদৰি লয়,1,Hope everyone welcomes the song
এই মানুহবোৰে কিয় জন্ম লয়,0,Why are these people born
অসমৰ সংগীত জগতৰ ভৱিষ্যত সুৰক্ষিত লোকৰ হাতত।,1,The future of the music world of Assam is in the hands of safe people.
আপোনাৰ গানটো নইচ প্ৰদূষণৰ দৰে,0,Your song is like noise pollution
গানটোৰ বাবে অ-অসমী সম্প্ৰদায়ে ইতিবাচক প্ৰতিক্ৰিয়া প্ৰকাশ কৰা দেখি মই বহুত গৌৰৱান্বিত অনুভৱ কৰোঁ,1,I feel very proud to see the non-Assamese community reacting positively to the song.
মই মৰিবলৈ গৈ আছো,0,I'm going to die
আপোনাৰ ক্লাছ মুঠেই নাই এইটো গানত। আপোনাৰ মানদণ্ড ইয়াতকৈ বহুত ওপৰত,0,Your class is not at all in this song. Your standards are much higher than this
অসমীযা জাতিৰ অধপতন লৈ যাবি নেকি,0,Will we take the decline of the Assamese nation?
বান্দৰ,0,monkey
পুৰণি অসমীয়া গীতৰ তুলনা নাই,1,There is no comparison of old Assamese songs
এই গানটো বেলেগ ধৰণৰ বেদনা দিয়ে,1,This song hurts a different way
তুমি গালে বমি লাগে,0,You feel vomiting on the cheek
বেয়া হৈছে,0,It's bad
"অতি সুন্দৰ এটি গীত যেন মোৰ মন মোহি পেলালে, এতিয়া শুনিব পোৱাটো ভাগ্যৰ কথা।
",1,"It's a matter of luck to hear a very beautiful song that has filled my mind.
"
মৰিজা তই কেলা তাত আমাৰ কি আহে যায় সুদুৰ ভাই,0,Morija toi kela there what comes to us Sudur bhai
আমি শিল্পীসমূহক ইতিকিং নকৰি উৎসাহ প্ৰদান কৰা উচিত,1,We should encourage artists not to do it.
অতীব্র সুন্দৰ।,1,Intensely beautiful.
আজি কালি বজৰোৱা কিছুমানে বিহু গীত বুলি নাম দিয়ে কিন্তু তাত কোনো বিহুৰ মাদকতা নাথাকে থাকে মাথো কিছুমান বজৰোৱা শব্দ,0,Some of the ones who play these days call it Bihu song but there is no bihu drug but only some ringing words.
অপূৰ্ব,1,wonderful
বালৰ বিদেও বনাইছোঁ,0,I've also made bal's bid
এয়াহে আচল বিহু।,1,This is the real Bihu.
এইবিলাক ফাল্টু গানে অসমীয়া চলচিত্ৰ জগতখন শেষ কৰি দিলে,0,These faltu songs have ended the Assamese film world.
গানটো শুনাৰ লগে লগে শৈশৱ  কাললৈ মনত পৰি গ'ল। সচাই বৰ মধুৰ আছিল সেই দিনবোৰ,1,"As soon as he heard the song, he remembered his childhood. Sachai was very sweet those days"
পাগল কুকুৰে কামুৰিছিল নেকি,0,Did the mad dog bite
ৰসাতলে যাব সময় হল,0,It's time to go to Rasatle
কাম নাই তোমাৰ,0,You don't have work
সচাকৈয়ে গৌৰৱ বোধ কৰিছো,1,I am very proud.
তোমালোকৰ কাম নাই নেকি,0,Don't you have work
বিচেৰি বিচেৰি গানটো কিবাকে পালো,1,Got the song Bisseri Bisseri
অসমীয়া চলচিত্ৰ জগতৰ এটি কালজয়ী গীত....,1,A classic song from the Assamese film industry.
এই গানটো চোৱাৰ পিছত মই মূৰ্ছা গৈছিলো,0,I fainted after watching this song
"ফকটিয়া ছাল্লা, ঐ কেলা",0,"Faktia Challa, The Kela"
শুনি শুনি আমনি নলগা এটি গীত,1,A song that is not boring to hear
মই এটাও অসমশব্দ নাজানো কিন্তু এই গীতটোৱে মোক উপলব্ধি কৰাইছিল যে সংগীত সকলো ভাষাৰ বাধাৰ বাহিৰত,1,I don't know a single uneven word but this song made me realise that music is beyond the barriers of all languages.
ভাল নাই লগা,0,not like it
পাগল,0,mad
ফালটো হৈছে,0,The side is
ৰাহুল কুকুৰক পালে তাক মই তাতে কাতিম কি গান গাবলৈ আহি ছ,0,Rahul got the dog and I would come to sing what he would do.
ৰাতিপুৱা ভাল লাগি গল মজ্জা,1,"It's nice in the morning, marrow"
তেতিয়াৰ বিহু আৰু এতিয়াৰ মাজত পাৰ্থক্ক,0,Parthapak between then Bihu and now
এই ভিডিঅ'টো চোৱাৰ পিছত কৰোনা ভাইৰাছে ভাৰত ত্যাগ কৰিব,0,Corona virus will leave India after watching this video
"সুন্দৰ সংগীত , সুন্দৰ কথা , সুন্দৰ কণ্ঠ",1,"Beautiful music, beautiful words, beautiful voices"
ভাল লগিছে,1,It's nice
কি সুমধুৰ গীত।ভাল লাগিল,1,What a sweet song. Nice
কি পাগল,0,What a madman
মৰম নীল আকশ দা,1,Love Blue Aksh Da
মাইৰেক্সুদা এইবোৰ বিদেও নিদিবা অ,0,Myreksuda will not even give these seeds.
তুমি মানুহ ৰূপী আৱৰ্জনা,0,You are human silver waste
এইটো সঁচাকৈয়ে এটা গান নেকি,0,Is this really a song
আপোনাৰ পৰা এনে গীত আশা কৰা নাছিলো,0,Didn't expect such a song from you
অকলে থাকিলে এই গানটো মোৰ প্ৰিয়,1,This song is my favourite when alone
"কটা নিধক হত, তহঁত ৰৌ ৰৌ নৰকত পচি মৰ।",0,"Cut down, they are dead in the sun."
সঁচাই সুন্দৰ হৈছে অসমৰ অন্য এক নক্ষত্ৰ জন্ম হল,1,It is really beautiful that another star of Assam was born.
নিজস্বতা নাথাকিলে অস্তিত্ব বুলিও কোনো কথা নাথাকে,0,There is no such thing as existence without a uniqueness.
নতুন গানৰ চিন্তা কৰিব পৰা অক মাত্ৰ শিল্পী জন হল কুসুমদা।,1,Kusumda is the only artist who can think of new songs.
ভাল দিন এটা সাই মৰি যাওক,0,Good day die a sai
অসম খন বেছি ভাগ নমুনা দি ভৰি পৰিছে,0,Assam is filled with most of the samples
মই অসমী নহয় কিন্তু কেনেবাকৈ মই এই ভাষাটো ভাল পাওঁ। মই ইয়াক শিকিব বিচাৰো,1,I am not Assamese but somehow I like this language. I want to learn it
জাতনাম আৰু শৃংখলিত সৰল নৃত্য।,1,Simple dance in caste and series.
তোৰ মাথা নাই নেকি,0,Don't you have a head
আপুনি এজন মানসিক ৰোগী,0,You are a mental lying patient
বৰ বেয়া গান,0,Very bad song
বাপেৰৰ মাৰৰ মূৰটো,0,Father's head
জুবিনৰ সদায় শুনিব পৰা গীত,1,Zubin's ever-heard song
এই গানটোৱেই মোক পুনৰ নতুন অসমী গান শুনিবলৈ বাধ্য কৰিছিল,1,It was this song that made me listen to new Assamese songs again.
সৰ্বকালৰ প্ৰিয়,1,All Time Favorites
ককা আপুনি ছোৱালী জনিক কিমান টকা দিছে অভিনয় কৰিবলৈ,0,Grandfather how much money you have given to the girl to act
এইটো চোৱাৰ পিছত মই জীয়াই নাথাকিলোঁ,0,I didn't live after seeing this
এইটো নো বাৰু গান হ'ল নে,0,Is it a no baru song
অৰ্থপূৰ্ণ গান গোৱা গায়ক সকল হে প্ৰকৃত গায়ক যাৰ নিজৰ সৃষ্টি আছে‌,1,Singers who sing meaningful songs are real singers who have their own creations
জীৱন ৰিঙা ক্ষণত  পাপনদা তোমাৰ গীত মোৰে প্ৰাণত,1,Papanda at the moment of life your song Mere Pranat
এইবোৰ হে বিহু গান বুলি কব পাৰি,1,These can be called Bihu songs
কি দিন যে আহিল নহয়,0,What a day that didn't come
চেণ্ডেলৰ মালা পিন্ধাবলৈ মন গৈছে,0,I feel like wearing a garland of sandals
মন পৰশা গীত,1,Mann Parasha Geet
বেউৰা,0,beura
"""অদ্ভুত""",1,"""Strange"""
চিঃচিঃ,0,C.C.C.:
মৰি জা তহঁত,0,Die them
ককাইদেউ সঁচাকৈয়ে আজি আমি তোমাৰ পৰা এক নতুন ধৰণৰ অসমীয়া গীতৰ সোৱাদ পালোঁ।,1,Kakaideo Really today we got a taste of a new kind of Assamese song from you.
এনে ধৰণৰ গান বোৰৰ পৰা ধৰিব পাৰি যে অসমীয়া আধুনিক সংগীত আৰু গীত বোৰ এতিয়াও শুদ্ধ লোকৰ হাতত আছে,1,Such songs can be captured by the fact that Assamese modern music and songs are still in the hands of the right people.
এনেকুৱা বিহুগীত পাৰিলে আৰু কৰিবচোন,1,If you can do such a song and do it
ফকোটিয়া,0,facotia
বেছি আধুনিক হল নেকি?  চাল্লা,0,Is it too modern?  challa
ভাল লাগিল চায়।,1,I like it.
মই শুনা আটাইতকৈ বেয়া গান,0,The worst song I'd ever heard
পৰম আবৰ্জনা,0,absolute junk
"বহুত বহুত বহুত বেছি ভাল লাগে গানটো,শুনিলেই শুনি থাকিব মন যায় আমনি নালাগে কেতিয়াও শুনি,",1,"It's a lot more nice to listen to the song, i don't feel bored listening,"
বাল,0,sand
নিৰ্লজ্জ গান,0,Shameless Song
এইটো কেনেকৈ এটা গান হ'ব পাৰে?,0,How can it be a song?
এইটো শুনি ইয়াত কিমান জন লোকে বমি কৰিছিল?,0,How many people vomited here when they heard this?
আজি মই এই ৰোমাঞ্চকৰ গানটো বিচাৰি পাইছিলো আৰু মই ইয়াক বহুত ভাল পাওঁ,1,Today I found this exciting song and I love it so much
জয় জুবিন দা,1,Jai Zubin Da
"ফকতিয়া ,ফলটো, ফটোৱা",0,"Faktia, Fruit, Photowa"
পইছাৰ বাবে লেঙটা কৈও নাচিব এইজনি ছোৱালীয়ে,0,This girl will also dance with a langa for money.
প্ৰতিটো শব্দই দেহ মন চুই গৈছে ।,1,Every word has touched the body mind.
বিমল পান মচলা ফোক ৰ গান গাঁও,0,Vimal Pan Masala Phok Song Gaon
লিৰিক্স ভুল হৈছে,0,Lyrics are wrong
হাজাৰটা মনত দুখ লৈ থাকিলেও এই গানবোৰ শুনা পিছত সকলো বোৰ আগৰ দৰে হৈ পৰে,1,"Even if thousands of minds are sad, everything becomes the same after listening to these songs."
অসমীয়াৰ বাপতি সাহোন বিহুটোকো নেৰিলি হত নে,0,Would Assamese bapati Sahon Bihuto also have been nerili?
"বঢ়িয়া ,মজ্জাহ হৈছে ,ভাল লাগিল চাই সচাঁকৈ",1,It's good to see that it's good.
কিছুমান অসমগীতৰ প্ৰসংগ ইমান গভীৰ যে মোৰ মনৰ নিৰলসতা নিষ্পত্তি হয়,1,The context of some assamese songs is so deep that the relentlessness of my mind is settled
"আশা কৰো, অসমীয়া সংগীত জগতৰ এই দুসময়ত এনেকুৱা সুন্দৰ কথাৰ কবিতা কবিতা লগা গান শুনি থাকিবলৈ পাম।",1,I hope i can hear songs with poems of such beautiful words in these two times of the Assamese music world.
ৱাহ কি ভয়ানক গান,0,Wow what a terrible song
সুন্দৰ বিহু বিহু লাগিছে গাত,1,Beautiful Bihu Bihu Looks Like A Pit
আগৰ সেই বিহু আজি নাই টকা কৰি পেলালে,0,The previous bihu did not make money today
ভৌতিক ভিডিঅ',0,Horror Video
সুমধুৰ,1,sweet
এই গানটোৱে এজন দুখী ব্যক্তিক সুখী কৰিব পাৰে।,1,This song can make a sad person happy.
এইটো চোৱাৰ পিছত মই হতাশালৈ গৈছিলো।,0,I went into depression after seeing it.
চিৰসেউজ ীয়া গান,1,Evergreen Songs
গানবোৰ শুনিলে আকৌ এবাৰ চাবলৈ মন যায়,1,Listening to the songs takes a look again
অই ধোকৰা তই মোৰা নাই,0,"Hey, there's no smoke. "
একো ভাল লগা নাই,0,Don't like anything
এনেকুৱা সুন্দৰ গীত শুনিলে বুকুত এহেজাৰ গোলাপে সচাঁকৈয়ে কলি মেলে,1,A thousand roses on the chest really match when you hear such a beautiful song.
এইবোৰ গান হ'ল নে বাৰু ধুই,0,Are these songs or baru dhui
কুকুৰ,0,dog
শিল্পী সমাজ পৰা এইহালক বহিস্কাৰ কৰিব লাগে,0,This should be expelled from the artist community
গতে জীবন কতাই দিম এইটো গান শুনি শুনি,1,I'll give you life at the go.
তেওঁৰ ভিডিঅ'বোৰত এটা সমল সতৰ্কবাণী থাকিব লাগে।,0,His videos should have a content warning.
যদি জান গাব নাজানো তেতিয়া হলে অযথা গান বোৰ গাই নাথাকিব,0,"If you don't know how to sing, don't sing unnecessary songs."
হ্যদয়ৰ অনুকম্পা জড়িত এক সূখানোভূতিমূলক সৰলতম অন্যতম প্ৰিয় সংগীত,1,One of the most popular musical songs involving the compassion of the day
আপোনাৰ প্ৰতিটো গানেই মোৰ কাৰণে প্ৰিয়,1,Every song you sing is dear to me
মজা মজা,1,Fun Fun
ভাষা নাই,0,No language
"এইটো শুনি, কৰোনা ঋণাত্মক ৰোগী এজন তৎক্ষণাৎ ইতিবাচক হ'ব",0,"Hearing this, a corona negative patient will be positive immediately"
এইবোৰে আমাৰ উঠি অহা প্ৰজন্মক বিপথে পৰিচালিত কৰিছে,0,These have misled our growing generation.
হৃদআক্ৰমণৰ গান,0,Heart attack song
মন জুৰ পৰি যোৱা গান এটা উপহাৰ দিয়া বাবে গানটোৰ লগত জড়িত সকলোকে ধন্যবাদ জনাইছো,1,Thank you all associated with the song for gifting a song that has fallen on mann ju.
ষাৰ গৰু,0,sher cow
গীতটি শুনি বহুত ভাল লাগে হৃদয়স্পৰ্শী,1,It's great to hear the song heartwarming
ফটোৱা চলা,0,Photowa Chala
শুনিয়েই দেহ মন জুৰ পৰি যায়,1,"Hearing this, the body falls on the mind."
সংগীত মিলা নাই,0,Music doesn't match
চিঃচিঃ,0,C.C.C.:
মুখ্য অংশ,1,main part
দেউতাই শুনি চাব কৈছিল এবাৰ ; মই এশবাৰ মান শুনিলো । ইমান ধুনীয়া কথা আৰু সুৰ,1,Father asked him to listen and see once; I heard the value a hundred times. Such beautiful things and tunes
